country,company_name,year,num-of-cylinders,displacement,mileage,horsepower,weight,acceleration
USA,Ford,2020,7,258,7.227428468778811,277,2612,6.173509791010719
Germany,Chevrolet,2010,4,154,12.754285533139079,129,3576,7.098010804193108
USA,Toyota,2022,6,316,7.652571319883447,103,2922,8.085029335140959
Germany,Chevrolet,2011,5,264,12.329142682034442,174,4191,12.968660579507564
Germany,Ford,2005,4,133,8.502857022092718,184,2959,7.435280558987911
USA,Chevrolet,2015,8,356,11.053714128720536,165,2095,9.466229863007095
Germany,Toyota,2008,4,298,14.454856937557622,219,4400,8.600943273723372
USA,Toyota,2002,7,156,8.927999873197354,120,4256,10.667233502250594
USA,Ford,2019,8,354,8.927999873197354,142,4336,13.491744801127794
USA,Toyota,2021,8,378,14.454856937557622,128,2062,13.526253273972891
Japan,Ford,2019,5,331,8.927999873197354,254,4442,6.420065339555268
Japan,Chevrolet,2014,4,327,7.227428468778811,187,4444,10.7696889629022
Germany,Ford,2020,6,265,8.927999873197354,280,3629,13.13440772293816
USA,Ford,2021,8,255,8.502857022092718,148,3437,12.247449063082646
USA,Chevrolet,2003,8,224,8.502857022092718,294,4394,7.692271181810419
Japan,Toyota,2003,6,202,11.903999830929807,202,4023,12.119955580528645
USA,Toyota,2007,8,376,10.203428426511264,109,2150,7.512501278922674
Japan,Toyota,2009,7,265,8.077714170988083,102,2403,13.190076700571929
Germany,Honda,2009,6,325,11.903999830929807,216,4437,6.071450120047211
Germany,Ford,2009,7,343,13.60457123534835,208,2595,6.721863835917526
USA,Toyota,2003,4,238,7.652571319883447,189,2127,10.95346239692461
Japan,Honda,2014,4,232,11.903999830929807,224,3508,9.059520795438113
Japan,Ford,2018,4,213,14.454856937557622,217,3797,6.77250302845391
Japan,Chevrolet,2012,7,353,9.778285575406626,200,3107,13.879466465686608
Japan,Ford,2003,8,386,11.903999830929807,190,4022,13.172650042684968
Germany,Ford,2009,8,263,8.502857022092718,168,3159,8.16890713397389
Germany,Chevrolet,2010,6,237,13.179428384243714,205,2592,9.785520381679175
Germany,Honda,2013,6,137,12.329142682034442,110,4461,9.838030961576626
USA,Toyota,2007,8,279,8.502857022092718,112,3024,10.067123113868377
Germany,Toyota,2007,5,301,6.802285617674175,204,2573,13.738074447137496
Japan,Toyota,2021,7,176,8.502857022092718,265,4371,6.799668124742801
USA,Chevrolet,2001,7,130,8.927999873197354,267,3904,6.3172036479303575
Japan,Chevrolet,2012,7,309,11.47885697982517,260,3481,9.869651691392187
Germany,Toyota,2002,5,168,10.6285712776159,222,2116,9.666072094666523
USA,Ford,2002,6,219,12.329142682034442,133,2741,7.882102751720675
USA,Ford,2001,6,204,9.778285575406626,254,2824,6.470962266408412
Germany,Toyota,2005,7,356,9.35314272430199,199,3342,6.990755340142138
USA,Toyota,2008,6,253,11.903999830929807,150,3169,12.854041976557188
USA,Chevrolet,2004,7,226,8.502857022092718,188,3909,9.19733897681158
USA,Toyota,2000,8,336,12.754285533139079,120,2492,9.051177227447102
USA,Honda,2011,8,162,10.6285712776159,256,3214,6.175789083943374
USA,Ford,2002,6,245,7.652571319883447,172,4127,8.99802163925932
USA,Toyota,2005,5,308,10.6285712776159,118,2742,11.292858306768071
Germany,Toyota,2021,6,303,14.029714086452987,253,2417,11.00286560192148
USA,Chevrolet,2016,4,363,7.652571319883447,252,3924,13.311929741705724
Germany,Honda,2008,7,262,12.329142682034442,139,4276,11.374354405781176
Japan,Chevrolet,2001,4,223,14.029714086452987,223,3863,8.592661531980216
Japan,Toyota,2017,6,324,8.502857022092718,128,4414,8.529759890465563
Japan,Ford,2016,8,315,8.077714170988083,252,2007,12.666526460947727
USA,Honda,2003,7,294,13.60457123534835,246,2790,12.206425750575876
Japan,Honda,2008,6,320,8.502857022092718,295,3890,8.249223728242098
Japan,Honda,2020,5,134,7.652571319883447,272,4206,11.7114175575942
Japan,Chevrolet,2004,6,335,8.502857022092718,145,3782,10.492618247106924
USA,Toyota,2016,5,356,9.778285575406626,154,3616,9.197280115472344
Japan,Toyota,2003,8,203,8.077714170988083,100,3179,10.246881044286974
Germany,Toyota,2007,5,348,13.60457123534835,238,2495,6.68186448235616
USA,Honda,2003,4,156,6.802285617674175,295,2626,11.32542184798636
Japan,Honda,2018,4,152,14.029714086452987,234,4007,6.23707854504241
Germany,Ford,2017,4,337,6.802285617674175,199,3870,13.11429852862943
USA,Honda,2001,4,220,12.329142682034442,285,2798,11.45695166988177
Germany,Toyota,2018,4,181,13.60457123534835,298,4138,13.130514802288427
USA,Toyota,2017,5,338,9.35314272430199,247,4338,6.00966057389479
Japan,Honda,2020,4,191,11.053714128720536,262,3873,13.497750604405615
Germany,Ford,2002,7,234,12.329142682034442,150,2624,13.666458876382343
